Formula,Energy
O2, -5.9366
O2, -9.6573
Li16O16, -144.15
LiO8, -43.421
Li2O2, -19.336
CoLi3, -11.508
Co2Li2, -17.478
Co2Li2, -17.236
CoLi2, -10.455
CoLi2,   -10.2
Co3Li, -22.678
Co4Li6O10, -110.17
Co29O40, -418.05
Co6Li2, -45.523
Co10Li6O20, -204.69
Co8Li4O16, -159.92
Co8Li2O16, -148.59
Co8Li40O32, -411.75
Co4Li19O16, -199.32
CoO, -12.156
Co3,  -20.88
Co6Li8O14, -154.66
Co8Li2O16, -148.23
Co4Li6O10, -110.18
Li, -1.9053
Li12, -16.124
Li4O4,  -35.67
Co4Li2, -31.307
Co16Li8, -118.98
Co2Li4, -20.276
Co8O8, -92.708
Co8O16, -136.27
CoLi3, -12.002
Co6Li2, -45.051
CoLi2, -8.6235
Co2Li2,  -17.44
O16, -77.644
CoLiO2, -22.582
CoO3,  -19.55
Co4Li3O8, -85.166
Co2O8, -47.575
Co4O8, -67.013
Co12O24, -202.21
Co3Li5O8, -87.507
LiO8, -43.337
Co2Li7O6, -76.689
Co7Li9O16, -177.66
Co5Li7O12, -130.54
Co9Li9O17,  -195.7
Co12Li6O15, -184.01
Co2O8, -48.668
CoO2, -15.648
Co2O2, -24.353
Co6Li2O12, -114.31
CoO2,  -16.01
Co8Li4, -53.758
O8, -32.582
Co2Li4, -20.495
Co4Li2O8, -79.904
Co6Li8O14, -155.24
Li8O4, -56.319
Li4, -6.5385
O2, -5.1117
CoLi2, -10.345
LiO8, -42.795
CoLi4,  -12.41
Co4Li17O16, -190.14
CoO2, -15.011
Co6O6, -73.012
Co2O, -15.506
Co3Li, -22.764
Co7Li9O16, -177.79
Co7Li9O16, -177.65
Co7Li9O16, -177.31
Co7Li9O16, -177.55
Co7Li9O16, -177.85
Co30Li8, -221.52
Co4Li2O8, -79.654
Co4Li2O8, -79.596
Co16Li10O32, -330.28
Co3Li5O8, -87.297
Co2Li7O6, -74.214
Co10Li16O20, -247.97
Li2, -2.7434
Co12O24, -203.41
CoO8, -45.107
Co13Li14O28, -307.79
Co8Li20O18, -238.78
Co21Li20O42, -469.69
O3, -13.138
Co6O6, -70.701
CoO2, -17.125
CoLiO2, -22.146
CoO2, -17.124
Co2Li4O6, -64.503
Co7LiO8, -94.485
CoO2, -17.119
Co4O6, -58.607
CoO4, -24.387
Co16O16, -188.52
Co4O6, -58.901
Co3Li5O8, -87.487
Co2LiO,  -14.92
Co4O8, -67.428
Co5Li7O12, -132.75
O8, -39.533
LiO, -8.8243
Co12, -74.095
Co2Li2O4, -44.449
Co4LiO5,  -58.51
O2, -7.2086
Co15Li4O28, -270.25
O6, -24.124
O, -3.3855
CoLi3,  -11.52
Co16,  -98.93
Li4O4, -38.713
Li8O8, -68.594
Li4O4, -38.639
LiO8,  -42.84
O12, -53.857
O2, -9.8841
Li8O8, -71.126
Li4, -7.6016
Co8LiO9, -106.53
Co3LiO, -21.007
Co3Li5O8, -86.842
Co4O8, -68.368
Co2LiO3, -34.477
CoLiO2, -20.034
CoO8, -37.257
Co2O8, -51.721
Co6Li4O12,  -124.4
Co5Li7O12, -132.75
Co5Li7O12, -132.71
Co5Li7O12,  -132.6
Co5Li7O12, -132.75
Co9O13, -126.41
Co2Li4,  -20.92
Co6Li6, -51.643
CoLi3, -12.204
Co4Li2, -30.439
Co2Li4,  -20.65
Co5Li6O10, -115.46
Co2Li, -15.634
Co8, -56.002
Co4Li4, -29.021
CoLi5, -15.492
Co2Li, -15.648
CoLi5, -15.302
Co5Li, -36.771
Co4Li2, -29.899
Co4Li6O10, -108.52
Co3Li8,  -33.54
Co8, -54.529
Co8O4, -62.026
LiO,  -8.959
Li3, -5.6842
Co5O8, -76.917
Co6O4,  -53.91
CoLi2O4, -34.537
Li2, -3.6572
O16, -77.369
Li6O4, -46.655
Co2, -13.081
O4, -19.341
Co5Li7O12, -132.59
Co8Li2O16, -148.59
Co3Li3, -26.183
Co8Li10O16, -186.52
Co7Li9O16, -177.39
Co7Li9O16, -177.85
Co7Li9O16, -175.51
Co15LiO16, -190.43
Co4Li3, -33.066
Co2Li4O6, -63.276
Co2Li6O6, -73.557
Co4Li3O8, -85.159
Co2Li8O6, -81.317
Co3Li5O8, -86.938
Co3Li5O8,  -87.16
Co2Li7O6, -77.028
CoO4, -26.003
Co4Li6O10,  -110.0
Co7Li9O16, -177.72
Co6Li4O12, -125.19
Co5Li7O12, -131.97
Co2, -14.148
Co4, -24.611
O2, -9.8755
Co2Li2, -12.703
CoLiO2, -20.575
Co2Li2O4, -44.396
Co4Li12O12,  -145.8
Co3O3, -36.506
Co3Li2O6,  -62.57
Co2Li9O8, -96.841
Co4Li2O2,  -34.32
Co4Li3O8, -82.879
Co6O8, -85.276
Co8Li40O32, -406.89
Co15Li9O28, -297.55
Co7Li9O16, -177.25
Co7Li9O16, -177.97
Co7Li9O16, -177.65
Co7Li9O16, -177.84
Co7Li9O16, -177.84
Co7Li9O16, -177.55
Co10Li16O20, -247.88
Li68O34, -473.51
Li68O34, -482.24
Co16Li20O32,  -373.7
Co6Li10,  -58.75
Co10Li6, -79.948
Co23O32, -332.76
Co5Li7O12, -132.77
Co5Li8O10, -123.41
Co5Li5O10, -107.43
Co6Li8O14, -154.95
Co6Li8O14, -154.93
Co6Li8O14, -154.76
Co6Li8O14, -155.39
Co6Li8O14, -155.22
Co6Li8O14, -155.25
Co5Li7O12, -132.75
Co5Li7O12, -131.81
Co5Li7O12,  -132.0
Co6Li2O12,  -114.3
Co4Li8O12, -126.56
Co5Li7O12, -132.65
Co16, -89.424
Li3, -5.7001
Co5Li, -36.842
Li4, -7.6008
Co2Li, -13.583
Co8Li8, -58.178
Co8Li8, -66.555
O6, -27.062
O, -3.5963
Co3LiO4,  -46.42
Co2, -11.712
Co, -6.3073
O, -3.5932
Li2, -3.7875
LiO3, -19.223
Li8O8, -70.522
Li2O2, -17.612
Li12, -22.044
Li6O6, -55.585
O8, -32.318
Li16, -29.773
O4, -19.803
Li4,  -6.529
O2, -9.6753
Co2Li, -14.586
Co5Li, -36.794
CoLi5, -15.733
CoLi, -8.7342
Co3Li3, -25.949
Co8Li8, -68.746
Co2Li4,  -20.91
Co2Li2, -17.507
Co4Li2, -31.292
Co4Li2, -31.339
CoLi3, -12.211
Co2Li6, -24.351
Co8LiO16, -142.84
Co8Li2O16, -148.15
Co6Li4O12,  -125.2
Co8O16, -136.53
Co2Li16O12, -150.92
Co8Li17O18, -225.35
Co6Li34O24, -323.57
Co7Li9O16, -177.81
Co20Li12O48, -430.86
Co6Li6,  -33.62
CoLi7, -18.996
Co3LiO4, -46.526
Co3Li5,  -29.32
Co4Li, -29.648
O8, -39.075
Co4O2, -30.925
Co8Li8, -69.448
Co8Li21O18, -240.84
Co5Li7O12, -132.81
Co13Li4O28, -253.16
Li4O4,  -37.83
Li4O4, -38.869
O4, -14.438
Co4Li16O16, -184.39
Co4Li18O16, -194.63
Co2O, -13.012
LiO2, -12.453
Co5Li24,   -75.6
Co16Li20O32, -371.25
Co2Li2O4, -44.889
Co2Li10O8, -102.53
O8, -39.692
O4, -19.543
O12, -59.152
O4, -19.796
O4, -19.542
